iter	Logloss
0	0.6869165978
1	0.680266931
2	0.6737048478
3	0.6682062923
4	0.661316295
5	0.6560156701
6	0.6507479298
7	0.6453663947
8	0.6395351444
9	0.6342005224
10	0.6284325068
11	0.6246831702
12	0.6199220764
13	0.6156271051
14	0.6106848218
15	0.6058976404
16	0.6006306649
17	0.5973179511
18	0.5951810099
19	0.5909205805
20	0.5874781973
21	0.583299728
22	0.5811968523
23	0.5773965852
24	0.5732214016
25	0.5696006416
26	0.566370875
27	0.5627352912
28	0.5594239816
29	0.5564982799
30	0.5538054437
31	0.5504062757
32	0.5470799917
33	0.5435014963
34	0.5408418396
35	0.5374153106
36	0.5349733696
37	0.533438397
38	0.5301615329
39	0.5268800466
40	0.5241314239
41	0.5217954672
42	0.5190414327
43	0.5163485577
44	0.5139824164
45	0.5109450063
46	0.5087874302
47	0.5062316054
48	0.5036598983
49	0.5017675863
50	0.4995569363
51	0.4978182581
52	0.4959195923
53	0.4938276071
54	0.4923743097
55	0.4907993359
56	0.4890901164
57	0.4876320312
58	0.4850246777
59	0.4832130954
60	0.4811700089
61	0.479446009
62	0.4779359902
63	0.4759225295
64	0.474312018
65	0.472656498
66	0.4713583293
67	0.4699180534
68	0.4680820481
69	0.4661389709
70	0.4650007155
71	0.4630209674
72	0.4616887419
73	0.4600584135
74	0.4584141406
75	0.4566889357
76	0.4555613774
77	0.4540801293
78	0.4528763091
79	0.4512807511
80	0.4504457278
81	0.4487916922
82	0.4473704015
83	0.4456605029
84	0.4442671269
85	0.4431019364
86	0.4413556166
87	0.4399614648
88	0.4390227249
89	0.4378738389
90	0.4366161203
91	0.4353825354
92	0.4342582255
93	0.4328116948
94	0.4317366911
95	0.4303890965
96	0.4294321772
97	0.428113451
98	0.4274674571
99	0.4264259505
100	0.4246152796
101	0.4229801414
102	0.422060242
103	0.421398141
104	0.4203608264
105	0.4192389862
106	0.4180183786
107	0.4168016659
108	0.4152938354
109	0.4142100779
110	0.4129258188
111	0.4120138951
112	0.4112444794
113	0.410438257
114	0.4097699398
115	0.4090693928
116	0.4079029471
117	0.4075294964
118	0.4063692058
119	0.4052765406
120	0.4044114575
121	0.4035240414
122	0.4021073519
123	0.4007285105
124	0.3991599068
125	0.3983479616
126	0.397463079
127	0.3958709446
128	0.3951415873
129	0.393919679
130	0.3925644177
131	0.3912429316
132	0.3903792498
133	0.389145335
134	0.3884558913
135	0.3876264617
136	0.3875682663
137	0.3867683001
138	0.3858328696
139	0.3849511911
140	0.3841421729
141	0.382849979
142	0.3820469488
143	0.3812862402
