iter	Passed	Remaining
0	9	9645
1	11	5827
2	13	4561
3	16	4097
4	23	4744
5	25	4246
6	26	3826
7	28	3514
8	29	3281
9	31	3086
10	33	2992
11	35	2884
12	36	2764
13	37	2656
14	39	2568
15	40	2488
16	41	2421
17	43	2361
18	45	2332
19	46	2280
20	47	2232
21	49	2191
22	50	2128
23	51	2093
24	52	2058
25	54	2029
26	55	2013
27	57	2005
28	59	1990
29	60	1965
30	62	1940
31	63	1920
32	64	1898
33	66	1880
34	67	1861
35	68	1843
36	70	1826
37	71	1811
38	72	1797
39	74	1782
40	75	1767
41	76	1754
42	78	1740
43	79	1734
44	81	1721
45	82	1710
46	83	1699
47	85	1689
48	86	1679
49	87	1670
50	89	1659
51	90	1649
52	91	1640
53	93	1633
54	94	1626
55	95	1617
56	97	1609
57	98	1599
58	99	1594
59	101	1588
60	102	1581
61	104	1574
62	105	1567
63	106	1561
64	108	1555
65	109	1549
66	110	1542
67	112	1542
68	113	1536
69	115	1531
70	116	1525
71	118	1528
72	120	1523
73	121	1518
74	122	1513
75	124	1509
76	125	1503
77	126	1498
78	128	1494
79	129	1489
80	130	1485
81	132	1481
82	133	1478
83	135	1475
84	136	1474
85	138	1473
86	140	1471
87	141	1466
88	142	1462
89	144	1457
90	145	1452
91	146	1449
92	148	1446
93	149	1445
94	151	1441
95	152	1437
96	154	1433
97	155	1430
98	156	1426
99	158	1422
100	159	1418
101	160	1414
102	161	1410
103	163	1407
104	164	1404
105	166	1400
106	167	1396
107	168	1392
108	169	1389
109	171	1385
110	172	1382
111	173	1378
112	175	1375
113	176	1372
114	178	1370
115	179	1367
116	180	1364
117	182	1361
118	183	1357
119	184	1354
120	186	1351
121	187	1349
122	188	1345
123	190	1342
124	191	1340
125	192	1337
126	194	1334
127	195	1331
128	196	1329
129	198	1326
130	199	1323
131	201	1321
132	202	1319
133	203	1316
134	204	1313
135	206	1310
136	206	1303
137	208	1301
138	209	1298
139	210	1295
140	212	1293
141	213	1291
142	215	1289
143	216	1288
144	218	1287
145	220	1287
146	221	1285
147	222	1282
148	224	1279
149	225	1277
150	226	1275
151	228	1273
152	229	1271
153	231	1269
154	232	1267
155	233	1264
156	235	1262
157	236	1259
158	237	1257
159	239	1255
160	240	1253
161	241	1250
